Pump_ID,pump_failure_status,inspection_rating,runtime_hours,flow_rate,inlet_pressure,outlet_pressure,vibration_amplitude,bearing_temperature,motor_current,motor_voltage
PMP-002,0,3,9006.5,540.111,1.586,3.822,4.923,333.197,78.785,401.259
PMP-003,0,4,4009.0,653.659,1.546,4.312,3.002,337.104,73.61,399.072
PMP-003,0,four,4008.4,475.083,1.624,3.998,4.349,335.312,73.813,399.621
PMP-002,0,3,9004.1,513.84,1.399,3.76,3.756,335.127,67.328,404.077
PMP-003,0,4,4000.7,519.748,1.526,4.039,5.18,333.52,80.79,401.641
PMP-002,0,3,9006.5,605.287,1.464,3.559,3.911,333.833,71.819,399.936
PMP-002,0,3,9007.2,552.658,1.513,4.4,5.324,321.584,,400.087
PMP-003,0,4,4008.8,622.683,1.473,3.799,4.112,340.813,78.958,400.083
PMP-003,0,4,4004.4,511.358,1.534,4.105,4.407,332.878,66.737,401.99
PMP-003,0,4,4007.3,622.581,1.434,3.743,5.184,333.433,62.353,400.929
PMP-004,0,5,1002.1,567.54,1.406,3.792,4.106,333.841,66.94,396.221
PMP-004,0,5,1006.7,556.071,1.506,4.036,3.743,327.147,73.321,400.52
PMP-004,0,5,1008.4,585.492,1.271,3.719,5.559,338.926,73.227,401.658
PMP-003,0,4,4005.8,533.041,1.431,3.718,3.674,329.705,69.085,399.17
PMP-001,0,3,13006.7,593.673,1.576,4.08,4.893,332.659,69.045,402.524
PMP-004,0,5,1002.8,614.585,1.597,4.54,5.76,330.534,73.635,400.474
PMP-004,0,5,1009.7,562.157,1.527,4.386,2.508,327.822,66.744,400.061
PMP_003,0,4,4007.6,537.012,1.62,4.215,4.381,333.514,74.829,395.118
PMP-003,0,4,4002.0,515.358,1.52,4.23,3.557,337.87,64.172,401.453
PMP-004,0,5,1001.2,587.958,1.6,3.884,3.737,330.021,65.954,400.051
PMP-004,0,5,1009.8,546.055,1.39,4.357,3.806,336.21,70.939,401.575
PMP-002,0,3,9004.7,513.292,1.458,3.999,4.907,328.493,65.586,402.179
PMP-003,0,4,4007.5,550.382,1.588,4.222,4.799,339.026,81.675,400.044
PMP-004,0,5,1006.6,503.195,1.622,3.87,4.353,332.516,65.922,398.988
pmp-002,0,3,9000.8,461.734,1.422,3.512,5.086,336.186,68.504,400.264
PMP-001,1,3,13001.4,441.855,1.618,4.038,17.249,374.41,69.884,375.825
PMP-001,0,3,13001.1,625.096,1.467,3.843,3.906,332.261,71.791,401.078
PMP-003,0,4,4000.4,630.862,1.656,4.183,4.852,328.992,72.255,397.831
PMP-003,0,4,4007.0,536.609,1.442,3.76,4.57,328.14,74.748,400.937
PMP-001,1,3,13004.0,459.583,1.523,3.853,12.618,363.059,57.318,388.82
PMP-004,0,5,1008.9,552.798,1.583,3.931,4.505,328.747,78.386,398.676
PMP-002,0,3,9009.6,620.476,1.43,4.143,5.202,338.547,73.622,400.528
PMP-003,0,four,4006.8,531.089,1.388,4.089,3.138,339.262,76.348,398.627
PMP-001,0,3,13006.8,590.597,1.391,4.04,4.539,331.5,70.712,399.448
PMP-004,0,5,1008.9,568.809,1.332,3.809,3.334,338.686,74.206,401.875
PMP-002,0,3,9002.4,608.365,1.457,3.861,4.324,330.62,67.934,396.765
PMP-003,0,4,4002.2,587.748,1.417,4.049,5.343,326.201,67.055,398.126
PMP-004,0,5,1004.6,548.77,1.43,3.72,1.861,332.745,68.759,398.026
PMP-004,0,5,1001.5,509.486,1.582,4.019,43.81,334.237,65.749,402.376
PMP-002,0,3,9000.7,549.273,1.566,3.856,4.375,331.949,74.65,398.674
PMP-003,0,4,4006.9,556.272,1.571,4.023,2.723,340.112,387.629,402.806
PMP-003,0,4,4002.8,531.681,1.602,4.064,4.667,336.769,75.643,401.486
PMP-003,1,4,4002.3,493.013,1.494,3.922,17.124,394.527,68.713,392.648
PMP-001,0,3,13007.3,456.802,1.437,3.943,3.716,336.764,70.355,397.783
PMP-001,0,3,13009.7,546.216,1.392,3.579,4.827,327.57,72.373,403.101
PMP-001,1,3,13000.2,474.028,1.373,3.496,17.698,377.141,70.756,396.369
PMP-003,0,four,4005.8,541.097,1.584,4.11,2.826,341.058,72.815,403.772
PMP-004,0,5,1009.7,539.935,1.545,3.858,5.256,336.014,74.036,399.481
PMP-002,0,3,9007.6,478.813,1.438,4.01,5.758,335.369,66.775,400.761
PMP-004,0,5,1005.4,531.854,1.522,3.99,3.998,345.646,60.214,399.248
PMP-002,0,3,9000.9,515.589,1.532,3.862,4.493,345.205,75.444,396.843
PMP-002,0,3,9000.9,582.655,1.479,4.03,4.596,340.352,64.088,402.54
PMP-004,0,5,1001.1,552.041,1.606,4.006,6.092,336.351,69.709,399.126
PMP-003,0,4,4002.0,560.282,1.396,3.855,4.574,335.714,75.467,398.795
PMP-004,0,5,1007.6,573.821,1.368,3.718,3.437,328.299,73.95,402.671
PMP-004,0,5,1007.5,543.945,1.757,4.71,4.766,329.976,76.197,400.449
PMP-004,0,5,1005.8,550.853,1.565,4.07,5.01,329.013,68.403,400.011
PMP-002,0,3,9003.1,585.604,1.442,3.937,4.964,337.657,65.741,399.437
PMP-003,0,4,4000.4,532.789,1.584,4.344,3.431,336.718,63.421,405.416
PMP-003,0,4,4001.0,505.619,1.385,3.954,5.399,337.188,69.643,401.35
PMP002,0,3,9005.1,544.438,1.469,4.477,5.515,336.055,63.018,399.335
PMP-004,0,5,1004.0,598.11,1.598,4.082,3.976,340.507,75.432,400.818
PMP-003,0,4,4008.7,612.739,1.476,4.036,5.142,336.776,70.5,396.107
PMP-003,0,4,4006.1,552.455,1.532,3.947,3.082,329.47,76.03,399.151
PMP-001,0,3,13009.5,515.364,1.411,3.579,2.124,337.315,72.384,398.333
PMP-003,0,4,4009.0,556.108,1.447,3.9,3.371,322.272,64.584,404.298
PMP-003,0,4,4004.0,604.09,1.482,3.805,3.764,334.616,,401.207
