UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type,Inspectors
10,M14869,M,298.5,309.0,1741,28.0,21.0,0,No Failure,"{""lead"": ""Keller"", ""team"": [""Keller""], ""shift"": ""day"", ""date"": ""2024-06-24"", ""all_passed"": true}"
15,L47194,L,298.6,309.2,2035,19.6,40.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Iqbal""], ""shift"": ""night"", ""date"": ""2024-06-09"", ""all_passed"": true}"
17,M14876,M,298.6,309.2,1311,46.6,44.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Lombardi""], ""shift"": ""day"", ""date"": ""2024-11-01"", ""all_passed"": true}"
21,H29434,High,298.9,309.3,1375,42.7,58.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Fischer""], ""shift"": ""swing"", ""date"": ""2024-06-05"", ""all_passed"": true}"
28,H29441,H,299.1,309.4,1811,24.6,77.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta""], ""shift"": ""night"", ""date"": ""2024-09-05"", ""all_passed"": true}"
44,H29457,H,298.8,309.2,1372,48.5,120.0,0,No Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer"", ""Iqbal"", ""Jensen""], ""shift"": ""swing"", ""date"": ""2024-10-19"", ""all_passed"": true}"
47,M14906,M,298.7,309.0,1843,25.8,130.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner""], ""shift"": ""night"", ""date"": ""2024-02-29"", ""all_passed"": true}"
49,H29462,H,298.8,309.2,1425,53.9,135.0,0,No Failure,"{""lead"": ""Fischer"", ""team"": [""Fischer"", ""Iqbal"", ""Jensen""], ""shift"": ""day"", ""date"": ""2024-09-04"", ""all_passed"": true}"
50,M14909,M,298.9,309.2,1412,44.1,140.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal""], ""shift"": ""night"", ""date"": ""2024-03-13"", ""all_passed"": true}"
55,L47234,L,298.7,309.0,1691,30.1,154.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner""], ""shift"": ""night"", ""date"": ""2024-04-19"", ""all_passed"": false}"
72,L47251,L,298.9,309.1,1452,45.5,196.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta""], ""shift"": ""swing"", ""date"": ""2024-11-08"", ""all_passed"": true}"
73,L47252,L,298.9,309.1,1369,44.4,198.0,0,No Failure,"{""lead"": ""Brunner"", ""team"": [""Brunner"", ""Dubois""], ""shift"": ""night"", ""date"": ""2024-06-13"", ""all_passed"": true}"
95,L47274,L,299.0,308.9,1622,31.9,42.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson""], ""shift"": ""night"", ""date"": ""2024-05-25"", ""all_passed"": true}"
112,H29525,H,298.7,308.6,1499,43.5,84.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Chen""], ""shift"": ""night"", ""date"": ""2024-10-17"", ""all_passed"": false}"
115,L47294,L,298.8,308.6,1680,29.4,95.0,0,No Failure,"{""lead"": ""Keller"", ""team"": [""Keller"", ""Lombardi""], ""shift"": ""swing"", ""date"": ""2024-10-25"", ""all_passed"": true}"
127,L47306,L,299.0,308.6,1329,60.5,120.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Gupta"", ""Jensen""], ""shift"": ""day"", ""date"": ""2024-05-26"", ""all_passed"": true}"
130,L47309,L,298.9,308.5,1559,34.3,126.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Eriksson"", ""Jensen""], ""shift"": ""night"", ""date"": ""2024-01-03"", ""all_passed"": true}"
132,L47311,L,298.8,308.4,1737,27.7,130.0,0,No Failure,"{""lead"": ""Iqbal"", ""team"": [""Iqbal""], ""shift"": ""day"", ""date"": ""2024-11-04"", ""all_passed"": true}"
137,H29550,H,298.7,308.5,1420,45.7,143.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Dubois"", ""Gupta""], ""shift"": ""day"", ""date"": ""2024-07-28"", ""all_passed"": true}"
139,H29552,H,298.8,308.6,1449,49.4,150.0,0,No Failure,"{""lead"": ""Gupta"", ""team"": [""Gupta"", ""Jensen"", ""Lombardi""], ""shift"": ""night"", ""date"": ""2024-08-03"", ""all_passed"": true}"
144,H29557,H,298.6,308.4,1407,50.5,164.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Gupta"", ""Jensen""], ""shift"": ""swing"", ""date"": ""2024-09-28"", ""all_passed"": true}"
