UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type,Inspectors
3176,L50355,L,300.3,309.6,1468,44.7,179.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann""], ""shift"": ""day"", ""date"": ""2024-12-22"", ""all_passed"": false}"
4514,L51693,L,302.4,310.3,1900,24.4,113.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Chen"", ""Iqbal""], ""shift"": ""night"", ""date"": ""2024-03-17"", ""all_passed"": false}"
1672,L48851,L,298.1,307.9,1614,35.8,196.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Fischer"", ""Jensen""], ""shift"": ""swing"", ""date"": ""2024-11-29"", ""all_passed"": true}"
343,L47522,L,297.4,308.2,1471,46.5,25.0,0,No Failure,"{""lead"": ""Jensen"", ""team"": [""Jensen""], ""shift"": ""day"", ""date"": ""2024-07-30"", ""all_passed"": true}"
2078,L49257,L,299.4,309.4,1701,31.2,199.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann""], ""shift"": ""day"", ""date"": ""2024-05-01"", ""all_passed"": true}"
2095,L49274,L,299.4,309.3,1377,43.6,28.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Eriksson"", ""Hofmann""], ""shift"": ""swing"", ""date"": ""2024-12-27"", ""all_passed"": true}"
4883,L52062,L,303.7,312.5,1462,46.2,165.0,0,No Failure,"{""lead"": ""Hofmann"", ""team"": [""Hofmann""], ""shift"": ""swing"", ""date"": ""2024-01-02"", ""all_passed"": false}"
9791,L56970,L,298.6,309.5,1483,43.2,92.0,0,No Failure,"{""lead"": ""Keller"", ""team"": [""Keller""], ""shift"": ""swing"", ""date"": ""2024-09-27"", ""all_passed"": true}"
1391,L48570,L,298.9,310.2,1409,54.8,140.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Eriksson""], ""shift"": ""night"", ""date"": ""2024-05-30"", ""all_passed"": true}"
9424,L56603,L,298.1,308.5,1676,30.5,22.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois""], ""shift"": ""night"", ""date"": ""2024-07-10"", ""all_passed"": false}"
1001,L48180,L,296.3,307.1,1654,29.6,188.0,0,No Failure,"{""lead"": ""Alvarez"", ""team"": [""Alvarez"", ""Keller"", ""Lombardi""], ""shift"": ""night"", ""date"": ""2024-02-13"", ""all_passed"": true}"
4531,L51710,L,302.5,310.4,1487,42.0,152.0,0,No Failure,"{""lead"": ""Dubois"", ""team"": [""Dubois"", ""Jensen"", ""Lombardi""], ""shift"": ""night"", ""date"": ""2024-10-21"", ""all_passed"": false}"
6513,M21372,M,301.1,310.0,1433,48.1,14.0,0,No Failure,"{""lead"": ""Eriksson"", ""team"": [""Eriksson"", ""Hofmann""], ""shift"": ""day"", ""date"": ""2024-03-23"", ""all_passed"": true}"
6247,H35660,H,300.8,310.3,1457,46.8,182.0,0,No Failure,"{""lead"": ""Chen"", ""team"": [""Chen"", ""Fischer""], ""shift"": ""night"", ""date"": ""2024-09-30"", ""all_passed"": true}"
